from,to
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Sophie_Elisabeth_Untergreiz
Benigna_Marie_Ebersdorf,Heinrich_XXIV._Koestritz
Benigna_Solms-Laubach,Erdmuthe_Benigna_Ebersdorf,1696
Benigna_Solms-Laubach,August_Hermann_Francke,1699
Benigna_Solms-Laubach,August_Hermann_Francke
Benjamin_Halecius,August_Hermann_Francke
Benjamin_Halecius,August_Hermann_Francke
Benjamin_Lindner,Heinrich_XXIV._Koestritz
Bern._Th._B._Schenck,Heinrich_XXIV._Koestritz
Carl_Otto_v_Solms,Heinrich_XIII._Untergreiz,1696
Carl_Otto_v_Solms,Heinrich_XIII._Untergreiz
Carl_Otto_v_Solms,Heinrich_XIII._Untergreiz
Carl_Otto_v_Solms,Heinrich_XIII._Untergreiz
Carl_Otto_v_Solms,Heinrich_XIII._Untergreiz
Carl_Otto_v_Solms,Heinrich_XIII._Untergreiz
